Dte.;Barris;TOTAL ;"Sense 
estudis";Estudis primaris / certificat d'escolaritat / EGB;Batxillerat elemental / graduat escolar / ESO / FPI;Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà;Estudis universitaris / CFGS grau superior;No consta
1;1. el Raval;41.223;1.323;14.963;8.698;7.209;9.018;12
1;2. el Barri Gòtic;13.913;392;2.737;2.300;3.228;5.255;1
1;3. la Barceloneta;13.634;797;3.568;3.170;2.697;3.399;3
1;4. Sant Pere, Santa Caterina i la Ribera;19.995;660;4.245;3.271;4.330;7.482;7
2;5. el Fort Pienc;27.716;861;4.257;5.031;7.463;10.099;5
2;6. la Sagrada Família;45.630;1.664;7.559;8.831;11.999;15.568;9
2;7. la Dreta de l'Eixample;37.794;894;3.683;4.822;9.783;18.609;3
2;8. l'Antiga Esquerra de l'Eixample;36.823;960;4.020;5.250;9.884;16.701;8
2;9. la Nova Esquerra de l'Eixample;51.148;1.397;7.154;8.626;13.946;20.005;20
2;10. Sant Antoni;33.981;1.227;6.155;6.502;8.729;11.352;16
3;11. el Poble Sec - AEI Parc Montjuïc;35.243;1.471;9.895;8.009;7.589;8.273;6
3;12. la Marina del Prat Vermell - AEI Zona Franca;993;77;458;308;108;42;0
3;13. la Marina de Port;25.807;1.465;8.101;6.879;6.001;3.356;5
3;14. la Font de la Guatlla;9.178;406;1.915;2.009;2.324;2.518;6
3;15. Hostafrancs;13.995;530;3.270;3.065;3.345;3.779;6
3;16. la Bordeta;16.172;761;3.812;3.936;4.287;3.361;15
3;17. Sants - Badal;21.297;1.044;5.343;4.896;5.189;4.814;11
3;18. Sants;35.988;1.483;7.361;7.397;9.072;10.667;8
4;19. les Corts;40.266;1.225;5.210;6.411;11.196;16.210;14
4;20. la Maternitat i Sant Ramon;20.845;802;3.252;3.625;5.629;7.526;11
4;21. Pedralbes;9.799;170;737;1.151;2.768;4.970;3
5;22. Vallvidrera, el Tibidabo i les Planes;3.675;132;410;570;994;1.567;2
5;23. Sarrià;19.899;526;1.755;2.374;5.256;9.985;3
5;24. les Tres Torres;13.529;284;840;1.371;4.046;6.988;0
5;25. Sant Gervasi - la Bonanova;21.204;477;1.681;2.496;6.218;10.320;12
5;26. Sant Gervasi - Galvany;39.523;828;2.837;4.439;11.418;19.991;10
5;27. el Putxet i el Farró;24.752;577;1.902;3.260;7.101;11.906;6
6;28. Vallcarca i els Penitents;13.271;451;1.761;2.347;3.588;5.123;1
6;29. el Coll;6.274;259;1.153;1.358;1.684;1.816;4
6;30. la Salut;11.523;363;1.559;1.940;3.149;4.506;6
6;31. la Vila de Gràcia;44.473;1.402;6.356;6.879;10.704;19.126;6
6;32. el Camp d'en Grassot i Gràcia Nova;29.899;918;4.110;5.246;8.131;11.486;8
7;33. el Baix Guinardó;22.504;1.017;3.910;4.753;6.219;6.595;10
7;34. Can Baró;7.813;439;1.709;1.817;1.955;1.892;1
7;35. el Guinardó;31.350;1.348;5.826;6.816;8.756;8.596;8
7;36. la Font d'en Fargues;7.998;350;1.300;1.748;2.247;2.342;11
7;37. el Carmel;27.118;2.135;8.145;8.196;5.640;2.987;15
7;38. la Teixonera;9.834;661;2.691;2.794;2.272;1.411;5
7;39. Sant Genís dels Agudells;5.869;491;1.482;1.483;1.385;1.026;2
7;40. Montbau;4.465;376;993;997;1.108;991;0
7;41. la Vall d'Hebron;4.866;203;964;1.033;1.311;1.353;2
7;42. la Clota;483;29;96;124;109;125;0
7;43. Horta;23.117;1.388;5.614;5.262;6.048;4.801;4
8;44. Vilapicina i la Torre Llobeta;22.295;1.273;5.153;5.574;5.809;4.479;7
8;45. Porta;21.429;1.505;5.939;5.601;5.151;3.226;7
8;46. el Turó de la Peira;13.247;1.099;3.977;3.559;3.016;1.594;2
8;47. Can Peguera;1.950;148;720;598;348;136;0
8;48. la Guineueta;13.084;874;3.383;3.476;3.228;2.123;0
8;49. Canyelles;6.094;405;2.001;1.862;1.188;635;3
8;50. les Roquetes;13.066;981;4.732;4.121;2.278;954;0
8;51. Verdun;10.553;831;3.478;3.134;2.088;1.019;3
8;52. la Prosperitat;22.691;1.979;7.018;6.566;4.801;2.317;10
8;53. la Trinitat Nova;6.208;534;2.220;2.024;1.001;429;0
8;54. Torre Baró;2.250;153;916;694;306;179;2
8;55. Ciutat Meridiana;8.439;515;3.493;2.628;1.317;483;3
8;56. Vallbona;1.090;95;417;347;146;84;1
9;57. la Trinitat Vella;8.423;490;3.237;2.515;1.449;732;0
9;58. Baró de Viver;2.031;154;785;697;279;115;1
9;59. el Bon Pastor;10.284;604;3.336;3.032;2.075;1.234;3
9;60. Sant Andreu;48.597;2.107;10.385;11.772;13.388;10.933;12
9;61. la Sagrera;25.328;1.075;5.652;6.292;6.873;5.431;5
9;62. el Congrés i els Indians;12.236;673;2.551;2.908;3.315;2.787;2
9;63. Navas;19.323;812;4.032;4.580;5.398;4.496;5
10;64. el Camp de l'Arpa del Clot;33.741;1.323;6.577;7.519;9.102;9.213;7
10;65. el Clot;23.355;1.001;4.836;5.541;6.278;5.692;7
10;66. el Parc i la Llacuna del Poblenou;12.883;441;2.379;2.598;3.308;4.152;5
10;67. la Vila Olímpica del Poblenou;7.595;227;581;964;1.813;4.010;0
10;68. el Poblenou;27.862;1.191;5.370;5.788;6.948;8.555;10
10;69. Diagonal Mar i el Front Marítim del Poblenou;10.611;412;1.578;1.840;2.544;4.237;0
10;70. el Besòs i el Maresme;19.555;1.494;7.026;5.676;3.474;1.880;5
10;71. Provençals del Poblenou;17.252;820;3.929;4.320;4.431;3.749;3
10;72. Sant Martí de Provençals;22.627;1.380;5.958;5.806;5.618;3.851;14
10;73. la Verneda i la Pau;24.967;1.794;7.521;7.122;5.599;2.923;8
