Dte;Barris;TOTAL ;"Sense 
estudis";Estudis primaris / certificat d'escolaritat / EGB;Batxillerat elemental / graduat escolar / ESO / FPI;Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà;Estudis universitaris / CFGS grau superior;No consta
1;1 el Raval;41223;1323;14963;8698;7209;9018;12
1;2 el Barri Gòtic;13913;392;2737;2300;3228;5255;1
1;3 la Barceloneta;13634;797;3568;3170;2697;3399;3
1;4 Sant Pere, Santa Caterina i la Ribera;19995;660;4245;3271;4330;7482;7
2;5 el Fort Pienc;27716;861;4257;5031;7463;10099;5
2;6 la Sagrada Família;45630;1664;7559;8831;11999;15568;9
2;7 la Dreta de l'Eixample;37794;894;3683;4822;9783;18609;3
2;8 l'Antiga Esquerra de l'Eixample;36823;960;4020;5250;9884;16701;8
2;9 la Nova Esquerra de l'Eixample;51148;1397;7154;8626;13946;20005;20
2;10 Sant Antoni;33981;1227;6155;6502;8729;11352;16
3;11 el Poble Sec - AEI Parc Montjuïc;35243;1471;9895;8009;7589;8273;6
3;12 la Marina del Prat Vermell - AEI Zona Franca;993;77;458;308;108;42;0
3;13 la Marina de Port;25807;1465;8101;6879;6001;3356;5
3;14 la Font de la Guatlla;9178;406;1915;2009;2324;2518;6
3;15 Hostafrancs;13995;530;3270;3065;3345;3779;6
3;16 la Bordeta;16172;761;3812;3936;4287;3361;15
3;17 Sants - Badal;21297;1044;5343;4896;5189;4814;11
3;18 Sants;35988;1483;7361;7397;9072;10667;8
4;19 les Corts;40266;1225;5210;6411;11196;16210;14
4;20 la Maternitat i Sant Ramon;20845;802;3252;3625;5629;7526;11
4;21 Pedralbes;9799;170;737;1151;2768;4970;3
5;22 Vallvidrera, el Tibidabo i les Planes;3675;132;410;570;994;1567;2
5;23 Sarrià;19899;526;1755;2374;5256;9985;3
5;24 les Tres Torres;13529;284;840;1371;4046;6988;0
5;25 Sant Gervasi - la Bonanova;21204;477;1681;2496;6218;10320;12
5;26 Sant Gervasi - Galvany;39523;828;2837;4439;11418;19991;10
5;27 el Putxet i el Farró;24752;577;1902;3260;7101;11906;6
6;28 Vallcarca i els Penitents;13271;451;1761;2347;3588;5123;1
6;29 el Coll;6274;259;1153;1358;1684;1816;4
6;30 la Salut;11523;363;1559;1940;3149;4506;6
6;31 la Vila de Gràcia;44473;1402;6356;6879;10704;19126;6
6;32 el Camp d'en Grassot i Gràcia Nova;29899;918;4110;5246;8131;11486;8
7;33 el Baix Guinardó;22504;1017;3910;4753;6219;6595;10
7;34 Can Baró;7813;439;1709;1817;1955;1892;1
7;35 el Guinardó;31350;1348;5826;6816;8756;8596;8
7;36 la Font d'en Fargues;7998;350;1300;1748;2247;2342;11
7;37 el Carmel;27118;2135;8145;8196;5640;2987;15
7;38 la Teixonera;9834;661;2691;2794;2272;1411;5
7;39 Sant Genís dels Agudells;5869;491;1482;1483;1385;1026;2
7;40 Montbau;4465;376;993;997;1108;991;0
7;41 la Vall d'Hebron;4866;203;964;1033;1311;1353;2
7;42 la Clota;483;29;96;124;109;125;0
7;43 Horta;23117;1388;5614;5262;6048;4801;4
8;44 Vilapicina i la Torre Llobeta;22295;1273;5153;5574;5809;4479;7
8;45 Porta;21429;1505;5939;5601;5151;3226;7
8;46 el Turó de la Peira;13247;1099;3977;3559;3016;1594;2
8;47 Can Peguera;1950;148;720;598;348;136;0
8;48 la Guineueta;13084;874;3383;3476;3228;2123;0
8;49 Canyelles;6094;405;2001;1862;1188;635;3
8;50 les Roquetes;13066;981;4732;4121;2278;954;0
8;51 Verdun;10553;831;3478;3134;2088;1019;3
8;52 la Prosperitat;22691;1979;7018;6566;4801;2317;10
8;53 la Trinitat Nova;6208;534;2220;2024;1001;429;0
8;54 Torre Baró;2250;153;916;694;306;179;2
8;55 Ciutat Meridiana;8439;515;3493;2628;1317;483;3
8;56 Vallbona;1090;95;417;347;146;84;1
9;57 la Trinitat Vella;8423;490;3237;2515;1449;732;0
9;58 Baró de Viver;2031;154;785;697;279;115;1
9;59 el Bon Pastor;10284;604;3336;3032;2075;1234;3
9;60 Sant Andreu;48597;2107;10385;11772;13388;10933;12
9;61 la Sagrera;25328;1075;5652;6292;6873;5431;5
9;62 el Congrés i els Indians;12236;673;2551;2908;3315;2787;2
9;63 Navas;19323;812;4032;4580;5398;4496;5
10;64 el Camp de l'Arpa del Clot;33741;1323;6577;7519;9102;9213;7
10;65 el Clot;23355;1001;4836;5541;6278;5692;7
10;66 el Parc i la Llacuna del Poblenou;12883;441;2379;2598;3308;4152;5
10;67 la Vila Olímpica del Poblenou;7595;227;581;964;1813;4010;0
10;68 el Poblenou;27862;1191;5370;5788;6948;8555;10
10;69 Diagonal Mar i el Front Marítim del Poblenou;10611;412;1578;1840;2544;4237;0
10;70 el Besòs i el Maresme;19555;1494;7026;5676;3474;1880;5
10;71 Provençals del Poblenou;17252;820;3929;4320;4431;3749;3
10;72 Sant Martí de Provençals;22627;1380;5958;5806;5618;3851;14
10;73 la Verneda i la Pau;24967;1794;7521;7122;5599;2923;8
