Dte.;Barris;Electors;Votants;"JxSí
(1)";C’s;PSC;CUP;"CatSíque-
esPot (2)";PP;Altres;Blancs;Nuls
1;1. el Raval;20,766;11,96;3,417;1,778;1,792;1,537;1,571;1,296;471;55;43
1;2. el Barri Gòtic;7,855;4,952;1,699;644;537;851;679;348;166;15;13
1;3. la Barceloneta;9,102;5,782;2,148;790;803;737;571;470;206;31;26
1;4. Sant Pere, Santa Caterina i la Ribera;11,896;7,742;2,505;1,113;918;1,137;1,086;618;296;45;24
2;5. el Fort Pienc;21,894;17,39;7,23;2,794;1,591;1,963;1,584;1,444;660;75;49
2;6. la Sagrada Família;36,916;28,93;12,956;4,215;2,75;3,051;2,485;2,188;1,091;114;80
2;7. la Dreta de l'Eixample;29,713;23,97;10,928;3,546;1,774;2,694;1,701;1,941;1,212;122;52
2;8. l'Antiga Esquerra de l'Eixample;29,164;23,072;10,44;3,645;1,881;2,209;1,637;1,956;1,135;112;57
2;9. la Nova Esquerra de l'Eixample;42,019;33,409;15,01;5,227;2,922;3,156;2,608;2,83;1,415;146;95
2;10. Sant Antoni;26,72;20,594;9,156;2,635;1,924;2,462;1,899;1,581;780;94;63
3;11. el Poble Sec - AEI Parc Montjuïc;24,463;16,647;5,974;2,258;1,995;2,193;2,109;1,398;556;93;71
3;12. la Marina del Prat Vermell - AEI Zona Franca;873;478;90;137;110;16;66;38;20;1;0
3;13. la Marina de Port;21,996;15,987;3,794;3,674;2,769;1,106;2,378;1,653;485;76;52
3;14. la Font de la Guatlla;7,344;5,477;1,913;995;642;626;607;488;161;32;13
3;15. Hostafrancs;10,95;8,169;3,374;1,174;788;1,017;842;620;284;37;33
3;16. la Bordeta;13,983;10,84;4,287;1,593;1,308;1,261;1,116;857;352;35;31
3;17. Sants - Badal;17,676;13,498;5,025;2,335;1,712;1,363;1,283;1,218;477;48;37
3;18. Sants;29,569;22,961;10,141;3,008;2,196;2,973;2,106;1,556;805;113;63
4;19. les Corts;35,474;29,537;13,304;5,263;2,486;2,385;1,706;2,755;1,418;151;69
4;20. la Maternitat i Sant Ramon;18,351;15,04;5,993;3,015;1,512;1,094;1,029;1,635;653;63;46
4;21. Pedralbes;8,233;6,855;2,515;1,951;275;181;118;1,167;609;29;10
5;22. Vallvidrera, el Tibidabo i les Planes;3,08;2,49;1,226;306;182;358;174;123;102;14;5
5;23. Sarrià;17,192;14,339;6,811;2,717;765;942;531;1,392;1,078;75;28
5;24. les Tres Torres;11,753;10,007;3,954;2,778;407;306;175;1,424;914;36;13
5;25. Sant Gervasi - la Bonanova;18,414;15,291;6,301;3,655;748;727;479;1,861;1,385;96;39
5;26. Sant Gervasi - Galvany;34,237;28,669;11,81;6,749;1,491;1,435;894;3,78;2,323;139;48
5;27. el Putxet i el Farró;21,092;17,385;8,34;2,822;1,065;1,528;1,021;1,373;1,086;95;55
6;28. Vallcarca i els Penitents;11,383;9,19;4,109;1,431;768;1,003;693;699;411;50;26
6;29. el Coll;5,332;4,057;1,553;637;462;510;396;311;151;18;19
6;30. la Salut;9,833;7,845;3,712;1,06;605;968;585;540;311;49;15
6;31. la Vila de Gràcia;35,364;27,655;12,559;2,726;2,14;4,984;2,654;1,463;892;164;73
6;32. el Camp d'en Grassot i Gràcia Nova;25,789;21,23;10,204;2,621;1,674;2,752;1,721;1,318;800;95;45
7;33. el Baix Guinardó;19,291;15,184;6,361;2,255;1,537;1,816;1,356;1,182;553;80;44
7;34. Can Baró;6,675;5,099;1,838;843;681;547;570;369;198;27;26
7;35. el Guinardó;26,696;20,677;8,267;3,046;2,127;2,722;2,047;1,607;689;110;62
7;36. la Font d'en Fargues;7,379;6,148;2,539;948;602;720;644;453;206;25;11
7;37. el Carmel;23,365;16,848;3,045;4,343;3,482;1,162;2,21;1,877;574;87;68
7;38. la Teixonera;8,505;6,221;1,278;1,411;1,253;503;898;659;177;22;20
7;39. Sant Genís dels Agudells;5,16;3,735;1,04;679;588;329;494;430;145;22;8
7;40. Montbau;3,933;2,86;972;449;336;306;320;321;122;16;18
7;41. la Vall d'Hebron;4,386;3,616;1,02;813;439;298;406;468;143;22;7
7;42. la Clota;399;305;96;39;44;41;53;16;13;3;0
7;43. Horta;20,459;15,94;5,547;2,628;2,026;1,805;1,754;1,451;581;97;51
8;44. Vilapicina i la Torre Llobeta;19,309;15,035;4,608;3,011;2,181;1,427;1,565;1,583;565;52;43
8;45. Porta;18,18;13,501;3,315;2,942;2,347;1,08;1,637;1,633;447;55;45
8;46. el Turó de la Peira;10,508;7,081;1,727;1,438;1,292;570;914;838;243;36;23
8;47. Can Peguera;1,77;1,105;257;220;206;116;177;75;49;0;5
8;48. la Guineueta;11,972;9,371;2,295;2,051;1,485;712;1,209;1,231;306;41;41
8;49. Canyelles;5,727;4,496;793;1,135;908;290;680;519;134;25;12
8;50. les Roquetes;10,365;6,904;971;1,814;1,582;388;1,063;800;218;37;31
8;51. Verdun;8,658;5,991;1,028;1,439;1,183;393;931;753;210;33;21
8;52. la Prosperitat;19,414;14,435;2,537;3,464;2,721;933;2,442;1,82;390;73;55
8;53. la Trinitat Nova;5,062;3,034;584;656;654;207;460;330;121;14;8
8;54. Torre Baró;1,821;1,064;136;270;256;60;163;140;32;7;0
8;55. Ciutat Meridiana;6,047;3,841;420;987;980;169;565;536;125;30;29
8;56. Vallbona;915;552;95;125;107;36;85;75;21;7;1
9;57. la Trinitat Vella;5,905;3,884;654;1,034;944;168;500;438;126;7;13
9;58. Baró de Viver;1,765;1,085;237;245;228;60;153;113;38;9;2
