Dte.;Barris;Electors;Votants;"JxSi
(1)";C’s;PSC;CUP;"CatSique-
esPot (2)";PP;Altres;Blancs;Nuls
1;1. el Raval;20766;11960;3417;1778;1792;1537;1571;1296;471;55;43
1;2. el Barri Gòtic;7855;4952;1699;644;537;851;679;348;166;15;13
1;3. la Barceloneta;9102;5782;2148;790;803;737;571;470;206;31;26
1;4. Sant Pere Santa Caterina i la Ribera;11896;7742;2505;1113;918;1137;1086;618;296;45;24
2;5. el Fort Pienc;21894;10883;723;2794;1591;1963;1584;1444;660;75;49
2;6. la Sagrada Família;36916;26455;12956;4215;275;3051;2485;2188;1091;114;80
2;7. la Dreta de l'Eixample;29713;23970;10928;3546;1774;2694;1701;1941;1212;122;52
2;8. l'Antiga Esquerra de l'Eixample;29164;13676;1044;3645;1881;2209;1637;1956;1135;112;57
2;9. la Nova Esquerra de l'Eixample;42019;17353;1501;5227;2922;3156;2608;283;1415;146;95
2;10. Sant Antoni;26720;20594;9156;2635;1924;2462;1899;1581;780;94;63
3;11. el Poble Sec - AEI Parc Montjuïc;24463;16647;5974;2258;1995;2193;2109;1398;556;93;71
3;12. la Marina del Prat Vermell - AEI Zona Franca;873;478;90;137;110;16;66;38;20;1;0
3;13. la Marina de Port;21996;15987;3794;3674;2769;1106;2378;1653;485;76;52
3;14. la Font de la Guatlla;7344;5477;1913;995;642;626;607;488;161;32;13
3;15. Hostafrancs;10950;8169;3374;1174;788;1017;842;620;284;37;33
3;16. la Bordeta;13983;10840;4287;1593;1308;1261;1116;857;352;35;31
3;17. Sants - Badal;17676;13498;5025;2335;1712;1363;1283;1218;477;48;37
3;18. Sants;29569;22961;10141;3008;2196;2973;2106;1556;805;113;63
4;19. les Corts;35474;29537;13304;5263;2486;2385;1706;2755;1418;151;69
4;20. la Maternitat i Sant Ramon;18351;15040;5993;3015;1512;1094;1029;1635;653;63;46
4;21. Pedralbes;8233;6855;2515;1951;275;181;118;1167;609;29;10
5;22. Vallvidrera el Tibidabo i les Planes;3080;2490;1226;306;182;358;174;123;102;14;5
5;23. Sarrià;17192;14339;6811;2717;765;942;531;1392;1078;75;28
5;24. les Tres Torres;11753;10007;3954;2778;407;306;175;1424;914;36;13
5;25. Sant Gervasi - la Bonanova;18414;15291;6301;3655;748;727;479;1861;1385;96;39
5;26. Sant Gervasi - Galvany;34237;14638;1181;6749;1491;1435;894;378;2323;139;48
5;27. el Putxet i el Farró;21092;9879;834;2822;1065;1528;1021;1373;1086;95;55
6;28. Vallcarca i els Penitents;11383;9190;4109;1431;768;1003;693;699;411;50;26
6;29. el Coll;5332;4057;1553;637;462;510;396;311;151;18;19
6;30. la Salut;9833;6891;3712;106;605;968;585;540;311;49;15
